file	sha256	table	index	name	type	bind	visibility	section	value	size	undefined	related_name
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20917	blk_mq_quiesce_queue	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01037e290	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	20936	blk_mq_unquiesce_queue	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc01037f7d0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21136	blkcg_drain_queue	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010394ac0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21143	blk_throtl_drain	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc010397e00	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21495	zlib_inflateReset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103b2390	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21502	zlib_deflateReset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103b4ec0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21519	xz_dec_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103b8ff4	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21523	xz_dec_lzma2_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103ba404	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21527	xz_dec_bcj_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103bae64	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21579	dql_reset	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103be3a0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21668	gpiochip_line_is_open_drain	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103cac10	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21885	pci_probe_reset_bus	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103db100	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21922	pci_probe_reset_slot	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103dd830	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21946	pcibios_set_pcie_reset_state	STT_FUNC	STB_WEAK	STV_DEFAULT	.kernel	0xffffffc0103de8e0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21947	pci_set_pcie_reset_state	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103de8f0	0x0	0	1
research/stock/elf/stock-kernel.vmlinux.elf	a51e6d0a6deee620a5f715c9469f193906cdf3fcea28b97ce01cf88383aa704e	.symtab	21990	pci_reset_secondary_bus	STT_FUNC	STB_GLOBAL	STV_DEFAULT	.kernel	0xffffffc0103e0ae0	0x0	0	1
